category,term,normalized_name,synonyms
CHEMICAL,Resveratrol,Resveratrol,"3,5,4'-Trihydroxystilbene"
CHEMICAL,Catechin,Catechin,儿茶素
CHEMICAL,Epicatechin,Epicatechin,表儿茶素
CHEMICAL,Anthocyanins,Anthocyanins,花青素
CHEMICAL,Proanthocyanidins,Proanthocyanidins,原花青素
CHEMICAL,Flavan-3-ols,Flavan-3-ols,黄烷-3-醇
CHEMICAL,Flavonols,Flavonols,黄酮醇
CHEMICAL,Phenolic acids,Phenolic acids,酚酸
CHEMICAL,Stilbenes,Stilbenes,芪类
CHEMICAL,GSH,Glutathione,谷胱甘肽
CHEMICAL,ROS,Reactive oxygen species,活性氧
CHEMICAL,Hydrogen peroxide,Hydrogen peroxide,H₂O₂
CHEMICAL,Superoxide,Superoxide,O₂⁻•
CHEMICAL,Hydroxyl radicals,Hydroxyl radicals,•OH
CHEMICAL,Lipid peroxidation products,Lipid peroxidation products,脂质过氧化产物
CHEMICAL,TBARS,Thiobarbituric acid reactive substances,硫代巴比妥酸反应物
CHEMICAL,ABTS,"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)","自由基清除能力测定试剂"
CHEMICAL,FRAP,Ferric reducing antioxidant power,铁还原抗氧化能力
CHEMICAL,FDG,Fluorodeoxyglucose,氟代脱氧葡萄糖（PET示踪剂）
CHEMICAL,6-OHDA,6-Hydroxydopamine,6-羟基多巴胺（神经毒素）
CHEMICAL,VPA,Valproic acid,丙戊酸
CHEMICAL,Dopamine,Dopamine,多巴胺
CHEMICAL,Acetylcholine,Acetylcholine,乙酰胆碱
CHEMICAL,Epicatechin sulfate,Epicatechin sulfate,硫酸表儿茶素
CHEMICAL,Petunidin glucuronide,Petunidin glucuronide,矮牵牛素葡萄糖醛酸苷
CHEMICAL,Glucuronides,Glucuronides,葡萄糖醛酸结合物
PROTEIN_GENE,BDNF,Brain-derived neurotrophic factor,脑源性神经营养因子
PROTEIN_GENE,NGF,Nerve growth factor,神经生长因子
PROTEIN_GENE,SOD1,Superoxide dismutase 1,"铜/锌超氧化物歧化酶"
PROTEIN_GENE,CAT,Catalase,过氧化氢酶
PROTEIN_GENE,GPx,Glutathione peroxidase,谷胱甘肽过氧化物酶
