category,term,normalized_name,synonyms
CHEMICAL,Resveratrol,Resveratrol,"3,5,4'-trihydroxystilbene；白藜芦醇"
CHEMICAL,Catechin,Catechin,儿茶素
CHEMICAL,Epicatechin,Epicatechin,表儿茶素
CHEMICAL,Epicatechin gallate,Epicatechin gallate,表儿茶素没食子酸酯
CHEMICAL,Catechin gallate,Catechin gallate,儿茶素没食子酸酯
CHEMICAL,Gallic acid,Gallic acid,没食子酸
CHEMICAL,Protocatechuic acid,Protocatechuic acid,原儿茶酸
CHEMICAL,Caffeic acid,Caffeic acid,咖啡酸
CHEMICAL,p-Coumaric acid,p-Coumaric acid,对香豆酸
CHEMICAL,Ferulic acid,Ferulic acid,阿魏酸
CHEMICAL,Vanillic acid,Vanillic acid,香草酸
CHEMICAL,Syringic acid,Syringic acid,丁香酸
CHEMICAL,Gentisic acid,Gentisic acid,龙胆酸
CHEMICAL,Salicylic acid,Salicylic acid,水杨酸
CHEMICAL,p-Hydroxybenzoic acid,p-Hydroxybenzoic acid,对羟基苯甲酸
CHEMICAL,Tannic acid,Tannic acid,鞣酸/单宁酸
CHEMICAL,Rutin,Rutin,芦丁
CHEMICAL,Quercetin,Quercetin,槲皮素
CHEMICAL,Kaempferol,Kaempferol,山柰酚
CHEMICAL,Myricetin,Myricetin,杨梅素
CHEMICAL,Isorhamnetin,Isorhamnetin,异鼠李素
CHEMICAL,Laricitrin,Laricitrin,花翠素
CHEMICAL,Syringetin,Syringetin,丁香亭
CHEMICAL,Apigenin,Apigenin,芹菜素
CHEMICAL,Luteolin,Luteolin,木犀草素
CHEMICAL,Malvidin,Malvidin,锦葵色素
CHEMICAL,Cyanidin,Cyanidin,矢车菊色素
CHEMICAL,Delphinidin,Delphinidin,飞燕草色素
CHEMICAL,Peonidin,Peonidin,芍药色素
CHEMICAL,Petunidin,Petunidin,矮牵牛色素
CHEMICAL,Proanthocyanidins,Proanthocyanidins,原花青素/缩合单宁
CHEMICAL,Anthocyanins,Anthocyanins,花青素
CHEMICAL,Flavonols,Flavonols,黄酮醇
CHEMICAL,Flavan-3-ols,Flavan-3-ols,黄烷-3-醇
CHEMICAL,Flavones,Flavones,黄酮
CHEMICAL,Flavonoids,Flavonoids,类黄酮（总称）
CHEMICAL,Phenolic acids,Phenolic acids,酚酸
CHEMICAL,Stilbenes,Stilbenes,芪类
CHEMICAL,Piceid,Piceid,云杉苷（白藜芦醇-3-O-β-D-葡萄糖苷）
CHEMICAL,Piceatannol,Piceatannol,白皮杉醇
CHEMICAL,Viniferins,Viniferins,葡萄素（白藜芦醇寡聚体）
CHEMICAL,Carotenoids,Carotenoids,类胡萝卜素
CHEMICAL,Melatonin,Melatonin,褪黑素
CHEMICAL,Linoleic acid,Linoleic acid,亚油酸
CHEMICAL,Phytosterols,Phytosterols,植物甾醇
CHEMICAL,Tocopherols,Tocopherols,生育酚（维生素E）
CHEMICAL,Ascorbic acid,Ascorbic acid,抗坏血酸/维生素C
CHEMICAL,NO,Nitric oxide,一氧化氮
CHEMICAL,ET-1,Endothelin 1,内皮素-1
CHEMICAL,MDA,Malondialdehyde,丙二醛（氧化应激标志物）
CHEMICAL,oxLDL,Oxidized low-density lipoprotein,氧化型低密度脂蛋白
