category,term,normalized_name,synonyms
CHEMICAL,Resveratrol,Resveratrol,白藜芦醇
CHEMICAL,Piceatannol,Piceatannol,白皮杉醇
CHEMICAL,Pterostilbene,Pterostilbene,紫檀芪
CHEMICAL,Catechins,Catechins,儿茶素
CHEMICAL,Epicatechins,Epicatechins,表儿茶素
CHEMICAL,Procyanidins,Procyanidins,原花青素
CHEMICAL,Proanthocyanidins,Proanthocyanidins,原花青素
CHEMICAL,Viniferines,Viniferines,葡萄素
CHEMICAL,Quercetin,Quercetin,槲皮素
CHEMICAL,Kaempferol,Kaempferol,山柰酚
CHEMICAL,Myricetin,Myricetin,杨梅素
CHEMICAL,Isorhamnetin,Isorhamnetin,异鼠李素
CHEMICAL,Caffeic acid,Caffeic acid,咖啡酸
CHEMICAL,Coumaric acid,Coumaric acid,香豆酸
CHEMICAL,Ferulic acid,Ferulic acid,阿魏酸
CHEMICAL,Gallic acid,Gallic acid,没食子酸
CHEMICAL,β-Carotene,Beta-carotene,β-胡萝卜素
CHEMICAL,Lutein,Lutein,叶黄素
CHEMICAL,Zeaxanthin,Zeaxanthin,玉米黄质
CHEMICAL,Meso-zeaxanthin,Meso-zeaxanthin,内消旋玉米黄质
CHEMICAL,Flavonoids,Flavonoids,类黄酮
CHEMICAL,Polyphenols,Polyphenols,多酚
CHEMICAL,Stilbenes,Stilbenes,芪类
CHEMICAL,Vitamin A,Vitamin A,维生素A
CHEMICAL,Retinol,Retinol,视黄醇
CHEMICAL,Retinal,Retinal,视黄醛
CHEMICAL,Retinoic acid,Retinoic acid,视黄酸
CHEMICAL,Retinyl esters,Retinyl esters,视黄醇酯
CHEMICAL,α-Carotene,Alpha-carotene,α-胡萝卜素
CHEMICAL,β-Cryptoxanthin,Beta-cryptoxanthin,β-隐黄质
CHEMICAL,Vitamin C,Vitamin C,维生素C
CHEMICAL,Ascorbic acid,Ascorbic acid,抗坏血酸
CHEMICAL,Vitamin E,Vitamin E,维生素E
CHEMICAL,Tocopherols,Tocopherols,生育酚
CHEMICAL,Tocotrienols,Tocotrienols,生育三烯酚
CHEMICAL,DHA,Docosahexaenoic acid,二十二碳六烯酸
CHEMICAL,EPA,Eicosapentaenoic acid,二十碳五烯酸
CHEMICAL,Omega-3 fatty acids,Omega-3 fatty acids,ω-3脂肪酸
CHEMICAL,GSH,Glutathione,谷胱甘肽
CHEMICAL,NADPH,Nicotinamide adenine dinucleotide phosphate,还原型烟酰胺腺嘌呤二核苷酸磷酸
CHEMICAL,Ubiquinone,Ubiquinone,泛醌
CHEMICAL,Coenzyme Q10,Coenzyme Q10,辅酶Q10
CHEMICAL,Ubiquinol,Ubiquinol,泛醇
CHEMICAL,AGEs,Advanced glycation end products,晚期糖基化终末产物
CHEMICAL,Carboxyethylpyrrole,Carboxyethylpyrrole,羧乙基吡咯
CHEMICAL,8-OHdG,8-Hydroxy-2-deoxyguanosine,8-羟基-2-脱氧鸟苷
CHEMICAL,Malondialdehyde,Malondialdehyde,丙二醛
CHEMICAL,Hydrogen peroxide,Hydrogen peroxide,过氧化氢
CHEMICAL,Superoxide,Superoxide,超氧化物
CHEMICAL,Hydroxyl radicals,Hydroxyl radicals,羟基自由基
CHEMICAL,Reactive oxygen species,Reactive oxygen species,活性氧
CHEMICAL,Nitric oxide,Nitric oxide,一氧化氮
CHEMICAL,Reactive nitrogen species,Reactive nitrogen species,活性氮
CHEMICAL,Leptin,Leptin,瘦素
CHEMICAL,Zinc,Zinc,锌
CHEMICAL,Selenium,Selenium,硒
CHEMICAL,Copper,Copper,铜
CHEMICAL,Manganese,Manganese,锰
CHEMICAL,Iron,Iron,铁
CHEMICAL,Lipofuscin,Lipofuscin,脂褐素
CHEMICAL,Drusen,Drusen,玻璃疣
CHEMICAL,Rhodopsin,Rhodopsin,视紫红质
CHEMICAL,DNA,Deoxyribonucleic acid,脱氧核糖核酸
CHEMICAL,Xanthophylls,Xanthophylls,叶黄素类
CHEMICAL,Carotenoids,Carotenoids,类胡萝卜素
PROTEIN_GENE,SOD1,Superoxide dismutase 1,超氧化物歧化酶1
PROTEIN_GENE,SOD2,Superoxide dismutase 2,超氧化物歧化酶2
PROTEIN_GENE,CAT,Catalase,过氧化氢酶
PROTEIN_GENE,GPx,Glutathione peroxidase,谷胱甘肽过氧化物酶
PROTEIN_GENE,GST,Glutathione S-transferase,谷胱甘肽S-转移酶
PROTEIN_GENE,Glutathione reductase,Glutathione reductase,谷胱甘肽还原酶
PROTEIN_GENE,G6PD,Glucose-6-phosphate dehydrogenase,葡萄糖-6-磷酸脱氢酶
PROTEIN_GENE,Nrf2,Nuclear factor erythroid 2-related factor 2,核因子E2相关因子2
PROTEIN_GENE,NF-κB,Nuclear factor-kappa B,核因子κB
PROTEIN_GENE,TNF-α,Tumor necrosis factor-alpha,肿瘤坏死因子α
PROTEIN_GENE,VEGF,Vascular endothelial growth factor,血管内皮生长因子
PROTEIN_GENE,iNOS,Inducible nitric oxide synthase,诱导型一氧化氮合酶
PROTEIN_GENE,COX-2,Cyclooxygenase-2,环氧合酶-2
PROTEIN_GENE,CFH,Complement factor H,补体因子H
PROTEIN_GENE,C3,Complement component 3,补体成分3
PROTEIN_GENE,C2,Complement component 2,补体成分2
PROTEIN_GENE,CFB,Complement factor B,补体因子B
PROTEIN_GENE,CFHR1,CFH-related protein 1,CFH相关蛋白1
PROTEIN_GENE,CFHR3,CFH-related protein 3,CFH相关蛋白3
PROTEIN_GENE,BCMO1,Beta-carotene monooxygenase 1,β-胡萝卜素单加氧酶1
PROTEIN_GENE,XIAP,X-linked inhibitor of apoptosis protein,X连锁凋亡抑制蛋白
PROTEIN_GENE,NADPH oxidase,NADPH oxidase,NADPH氧化酶
PROTEIN_GENE,Cytochrome c oxidase,Cytochrome c oxidase,细胞色素c氧化酶
PROTEIN_GENE,αvβ5 integrin,Alpha-v-beta-5 integrin,αvβ5整合素
PROTEIN_GENE,LRP,Low-density lipoprotein receptor-related protein,低密度脂蛋白受体相关蛋白
PROTEIN_GENE,NLRP3,NLR family pyrin domain containing 3,NLRP3炎症小体
PROTEIN_GENE,AMPK,AMP-activated protein kinase,AMP活化蛋白激酶
DISEASE,AMD,Age-related macular degeneration,年龄相关性黄斑变性
DISEASE,Dry AMD,Dry age-related macular degeneration,干性年龄相关性黄斑变性
DISEASE,Wet AMD,Wet age-related macular degeneration,湿性年龄相关性黄斑变性
DISEASE,DR,Diabetic retinopathy,糖尿病视网膜病变
DISEASE,Nonproliferative DR,Nonproliferative diabetic retinopathy,非增殖性糖尿病视网膜病变
DISEASE,Proliferative DR,Proliferative diabetic retinopathy,增殖性糖尿病视网膜病变
DISEASE,Cataracts,Cataracts,白内障
DISEASE,Nuclear cataract,Nuclear cataract,核性白内障
DISEASE,Glaucoma,Glaucoma,青光眼
DISEASE,Xerophthalmia,Xerophthalmia,干眼症
DISEASE,Night blindness,Night blindness,夜盲症
DISEASE,Geographic atrophy,Geographic atrophy,地图状萎缩
DISEASE,Choroidal neovascularization,Choroidal neovascularization,脉络膜新生血管
DISEASE,Retinal degeneration,Retinal degeneration,视网膜变性
DISEASE,Retinal ischemia,Retinal ischemia,视网膜缺血
DISEASE,Vitreous hemorrhage,Vitreous hemorrhage,玻璃体出血
DISEASE,Tractional retinal detachment,Tractional retinal detachment,牵拉性视网膜脱离
DISEASE,Retinitis pigmentosa,Retinitis pigmentosa,视网膜色素变性
DISEASE,Endothelial dysfunction,Endothelial dysfunction,内皮功能障碍
DISEASE,Metabolic syndrome,Metabolic syndrome,代谢综合征
DISEASE,Type 2 diabetes,Type 2 diabetes,2型糖尿病
DISEASE,Diabetes mellitus,Diabetes mellitus,糖尿病
DISEASE,Hypertension,Hypertension,高血压
DISEASE,Atherosclerosis,Atherosclerosis,动脉粥样硬化
DISEASE,Cardiovascular disease,Cardiovascular disease,心血管疾病
DISEASE,Obesity,Obesity,肥胖
DISEASE,Inflammation,Inflammation,炎症
DISEASE,Oxidative stress,Oxidative stress,氧化应激
PATHWAY,Nrf2 signaling pathway,Nrf2 signaling pathway,Nrf2信号通路
PATHWAY,NF-κB signaling pathway,NF-κB signaling pathway,核因子κB信号通路
PATHWAY,Complement pathway,Complement pathway,补体通路
PATHWAY,VEGF signaling pathway,VEGF signaling pathway,VEGF信号通路
PATHWAY,JAK/STAT signaling pathway,JAK/STAT signaling pathway,JAK/STAT信号通路
PATHWAY,AMPK signaling pathway,AMPK signaling pathway,AMPK信号通路
PATHWAY,Toll-like receptor signaling pathway,Toll-like receptor signaling pathway,Toll样受体信号通路
PATHWAY,Apoptosis signaling pathway,Apoptosis signaling pathway,凋亡信号通路
PATHWAY,Insulin signaling pathway,Insulin signaling pathway,胰岛素信号通路
PATHWAY,MAPK signaling pathway,MAPK signaling pathway,MAPK信号通路
SPECIES,Mus musculus,Mus musculus,小鼠
SPECIES,C57BL/6,C57BL/6 mouse,C57BL/6小鼠
SPECIES,ApoE−/− mouse,ApoE knockout mouse,ApoE基因敲除小鼠
SPECIES,Rattus norvegicus,Rattus norvegicus,大鼠
SPECIES,Wistar rat,Wistar rat,Wistar大鼠
SPECIES,Vitis,Vitis,葡萄属
SPECIES,Vitis vinifera,Vitis vinifera,欧洲葡萄
SPECIES,Homo sapiens,Homo sapiens,人类
SPECIES,ARPE-19 cells,ARPE-19 cells,ARPE-19细胞系
SPECIES,RPE cells,Retinal pigment epithelial cells,视网膜色素上皮细胞
SPECIES,Photoreceptors,Photoreceptors,光感受器细胞
SPECIES,Rods,Rods,视杆细胞
SPECIES,Cones,Cones,视锥细胞
SPECIES,Ganglion cells,Ganglion cells,神经节细胞
SPECIES,Bipolar cells,Bipolar cells,双极细胞
SPECIES,Horizontal cells,Horizontal cells,水平细胞
SPECIES,Amacrine cells,Amacrine cells,无长突细胞
SPECIES,Müller cells,Müller cells,Müller细胞
SPECIES,Microglia,Microglia,小胶质细胞
SPECIES,Astrocytes,Astrocytes,星形胶质细胞
ANATOMY,Cornea,Cornea,角膜
ANATOMY,Sclera,Sclera,巩膜
ANATOMY,Limbus,Limbus,角膜缘
ANATOMY,Iris,Iris,虹膜
ANATOMY,Pupil,Pupil,瞳孔
ANATOMY,Lens,Lens,晶状体
ANATOMY,Retina,Retina,视网膜
ANATOMY,Macula,Macula,黄斑
ANATOMY,Fovea,Fovea,中央凹
ANATOMY,Choroid,Choroid,脉络膜
ANATOMY,Uveal tract,Uveal tract,葡萄膜
ANATOMY,Ciliary body,Ciliary body,睫状体
ANATOMY,RPE,Retinal pigment epithelium,视网膜色素上皮
ANATOMY,Outer plexiform layer,Outer plexiform layer,外丛状层
ANATOMY,Inner plexiform layer,Inner plexiform layer,内丛状层
ANATOMY,Photoreceptor outer segments,Photoreceptor outer segments,光感受器外节
ANATOMY,Photoreceptor inner segments,Photoreceptor inner segments,光感受器内节
ANATOMY,Retinal ganglion cells,Retinal ganglion cells,视网膜神经节细胞
ANATOMY,Subretinal space,Subretinal space,视网膜下腔
ANATOMY,Aqueous humor,Aqueous humor,房水
ANATOMY,Vitreous humor,Vitreous humor,玻璃体
ANATOMY,Blood-retinal barrier,Blood-retinal barrier,血-视网膜屏障
