category,term,normalized_name,synonyms
CHEMICAL,Resveratrol,Resveratrol,白藜芦醇
CHEMICAL,trans-Resveratrol,trans-Resveratrol,反式白藜芦醇
CHEMICAL,cis-Resveratrol,cis-Resveratrol,顺式白藜芦醇
CHEMICAL,Piceatannol,Piceatannol,白皮杉醇
CHEMICAL,Dihydroresveratrol,Dihydroresveratrol,二氢白藜芦醇
CHEMICAL,Quercetin,Quercetin,槲皮素
CHEMICAL,Quercetin glucoside,Quercetin glucoside,槲皮素葡萄糖苷
CHEMICAL,Kaempferol,Kaempferol,山柰酚
CHEMICAL,Kaempferol glucoside,Kaempferol glucoside,山柰酚葡萄糖苷
CHEMICAL,Isorhamnetin,Isorhamnetin,异鼠李素
CHEMICAL,Isorhamnetin glucoside,Isorhamnetin glucoside,异鼠李素葡萄糖苷
CHEMICAL,Myricetin,Myricetin,杨梅素
CHEMICAL,Myricetin glucoside,Myricetin glucoside,杨梅素葡萄糖苷
CHEMICAL,Catechin,Catechin,儿茶素
CHEMICAL,Epicatechin,Epicatechin,表儿茶素
CHEMICAL,Anthocyanins,Anthocyanins,花青素
CHEMICAL,Malvidin,Malvidin,锦葵色素
CHEMICAL,Cyanidin,Cyanidin,矢车菊色素
CHEMICAL,Delphinidin,Delphinidin,飞燕草色素
CHEMICAL,Petunidin,Petunidin,矮牵牛色素
CHEMICAL,Proanthocyanidins,Proanthocyanidins,原花青素
CHEMICAL,Procyanidins,Procyanidins,原花青素
CHEMICAL,Procyanidin B2,Procyanidin B2,原花青素B2
CHEMICAL,Flavonoids,Flavonoids,类黄酮
CHEMICAL,Flavonols,Flavonols,黄酮醇
CHEMICAL,Flavan-3-ols,Flavan-3-ols,黄烷-3-醇
CHEMICAL,Anthocyanidins,Anthocyanidins,花青素苷元
CHEMICAL,Nonflavonoids,Nonflavonoids,非类黄酮
CHEMICAL,Phenolic acids,Phenolic acids,酚酸
CHEMICAL,Stilbenes,Stilbenes,芪类
CHEMICAL,Gallic acid,Gallic acid,没食子酸
CHEMICAL,Hydroxybenzoic acid,Hydroxybenzoic acid,羟基苯甲酸
CHEMICAL,Hydroxycinnamates,Hydroxycinnamates,羟基肉桂酸酯
CHEMICAL,Caffeic acid,Caffeic acid,咖啡酸
CHEMICAL,Coumaric acid,Coumaric acid,香豆酸
CHEMICAL,Tannic acid,Tannic acid,鞣酸
CHEMICAL,Chlorogenic acid,Chlorogenic acid,绿原酸
CHEMICAL,SCFAs,Short-chain fatty acids,短链脂肪酸
CHEMICAL,Butyrate,Butyrate,丁酸
CHEMICAL,Acetate,Acetate,乙酸
CHEMICAL,Propionate,Propionate,丙酸
CHEMICAL,Butyric acid,Butyric acid,丁酸
CHEMICAL,Acetic acid,Acetic acid,乙酸
CHEMICAL,Propionic acid,Propionic acid,丙酸
CHEMICAL,Deoxycholic acid,Deoxycholic acid,脱氧胆酸
CHEMICAL,Bile acids,Bile acids,胆汁酸
CHEMICAL,Secondary bile acids,Secondary bile acids,次级胆汁酸
CHEMICAL,LPS,Lipopolysaccharide,脂多糖
CHEMICAL,Lipopolysaccharide,Lipopolysaccharide,脂多糖
CHEMICAL,ROS,Reactive oxygen species,活性氧
CHEMICAL,Diamine oxidase,Diamine oxidase,二胺氧化酶
CHEMICAL,D-Lactic acid,D-Lactic acid,D-乳酸
CHEMICAL,Endotoxin,Endotoxin,内毒素
CHEMICAL,Glutathione,Glutathione,谷胱甘肽
CHEMICAL,GSSG,Oxidized glutathione,氧化型谷胱甘肽
CHEMICAL,Fluorescein,Fluorescein,荧光素
CHEMICAL,5-Hydroxytryptamine,5-Hydroxytryptamine,5-羟色胺
CHEMICAL,Prostaglandin E2,Prostaglandin E2,前列腺素E2
CHEMICAL,3-Hydroxyphenylacetic acid,3-Hydroxyphenylacetic acid,3-羟基苯乙酸
CHEMICAL,4-Hydroxyphenylacetic acid,4-Hydroxyphenylacetic acid,4-羟基苯乙酸
CHEMICAL,3-Hydroxyphenylpropionic acid,3-Hydroxyphenylpropionic acid,3-羟基苯丙酸
CHEMICAL,3,4-Dihydroxyphenylacetic acid,3,4-Dihydroxyphenylacetic acid,3,4-二羟基苯乙酸
CHEMICAL,3-(3,4-Dihydroxyphenyl)-propionic acid,3-(3,4-Dihydroxyphenyl)-propionic acid,3-(3,4-二羟基苯基)-丙酸
CHEMICAL,Dihydroxyphenyl valeric acid,Dihydroxyphenyl valeric acid,二羟基苯戊酸
CHEMICAL,Hydrocaffeic acid,Hydrocaffeic acid,氢化咖啡酸
CHEMICAL,Ferulaldehyde,Ferulaldehyde,阿魏醛
CHEMICAL,Resveratrol-glucuronide,Resveratrol-glucuronide,白藜芦醇葡萄糖醛酸苷
CHEMICAL,Resveratrol-sulfate,Resveratrol-sulfate,白藜芦醇硫酸酯
CHEMICAL,2'-Deoxyribonic acid,2'-Deoxyribonic acid,2'-脱氧核糖酸
CHEMICAL,Glutaconic acid,Glutaconic acid,戊烯二酸
CHEMICAL,Quercetin aglycone,Quercetin aglycone,槲皮素苷元
CHEMICAL,Quercetin monoglycoside,Quercetin monoglycoside,槲皮素单糖苷
CHEMICAL,Resveratrol aglycone,Resveratrol aglycone,白藜芦醇苷元
CHEMICAL,Resveratrol glucoside,Resveratrol glucoside,白藜芦醇葡萄糖苷
CHEMICAL,Aglycones,Aglycones,苷元
CHEMICAL,Glucosides,Glucosides,葡萄糖苷
CHEMICAL,Polyphenols,Polyphenols,多酚
CHEMICAL,Xenobiotics,Xenobiotics,外源物质
CHEMICAL,GSH,Glutathione,谷胱甘肽
CHEMICAL,NADPH,Nicotinamide adenine dinucleotide phosphate,还原型烟酰胺腺嘌呤二核苷酸磷酸
CHEMICAL,NO,Nitric oxide,一氧化氮
CHEMICAL,H2O2,Hydrogen peroxide,过氧化氢
CHEMICAL,O2-,Superoxide anion,超氧阴离子
PROTEIN_GENE,Occludin,Occludin,闭合蛋白
PROTEIN_GENE,OCCL1,Occludin,闭合蛋白
PROTEIN_GENE,Claudin,Claudin,紧密连接蛋白
PROTEIN_GENE,Claudin-1,Claudin-1,紧密连接蛋白1
PROTEIN_GENE,Claudin-2,Claudin-2,紧密连接蛋白2
PROTEIN_GENE,Claudin-5,Claudin-5,紧密连接蛋白5
PROTEIN_GENE,ZO-1,Zonula occludens-1,闭锁小带蛋白1
PROTEIN_GENE,ZO-2,Zonula occludens-2,闭锁小带蛋白2
PROTEIN_GENE,MUC2,Mucin-2,黏蛋白2
PROTEIN_GENE,MUC5AC,Mucin-5AC,黏蛋白5AC
PROTEIN_GENE,MYO9B,Myosin IXB,肌球蛋白IXB
PROTEIN_GENE,PTPN,Protein tyrosine phosphatase,蛋白酪氨酸磷酸酶
PROTEIN_GENE,Nrf2,Nuclear factor erythroid 2-related factor 2,核因子E2相关因子2
PROTEIN_GENE,NF-κB,Nuclear factor-kappa B,核因子κB
PROTEIN_GENE,IκB-α,Inhibitor of nuclear factor kappa B alpha,核因子κB抑制蛋白α
PROTEIN_GENE,TLR2,Toll-like receptor 2,Toll样受体2
PROTEIN_GENE,TLR4,Toll-like receptor 4,Toll样受体4
PROTEIN_GENE,NLRP3,NOD-like receptor family pyrin domain containing 3,NOD样受体家族含pyrin结构域蛋白3
PROTEIN_GENE,COX-2,Cyclooxygenase-2,环氧合酶-2
PROTEIN_GENE,iNOS,Inducible nitric oxide synthase,诱导型一氧化氮合酶
PROTEIN_GENE,HO-1,Heme oxygenase-1,血红素加氧酶-1
PROTEIN_GENE,SOD,Superoxide dismutase,超氧化物歧化酶
PROTEIN_GENE,CAT,Catalase,过氧化氢酶
PROTEIN_GENE,GPX,Glutathione peroxidase,谷胱甘肽过氧化物酶
PROTEIN_GENE,GPX4,Glutathione peroxidase 4,谷胱甘肽过氧化物酶4
PROTEIN_GENE,Keap-1,Kelch-like ECH-associated protein 1, Kelch样ECH相关蛋白1
PROTEIN_GENE,HIF-1α,Hypoxia-inducible factor 1-alpha,缺氧诱导因子1α
PROTEIN_GENE,TNF-α,Tumor necrosis factor-alpha,肿瘤坏死因子α
PROTEIN_GENE,IL-1β,Interleukin-1 beta,白细胞介素-1β
PROTEIN_GENE,IL-6,Interleukin-6,白细胞介素-6
