category,term,normalized_name,synonyms
CHEMICAL,Resveratrol,Resveratrol,白藜芦醇
CHEMICAL,trans-Resveratrol,trans-Resveratrol,反式白藜芦醇
CHEMICAL,cis-Resveratrol,cis-Resveratrol,顺式白藜芦醇
CHEMICAL,Piceatannol,Piceatannol,白皮杉醇
CHEMICAL,Pterostilbene,Pterostilbene,紫檀芪
CHEMICAL,Epsilon-viniferin,Epsilon-viniferin,ε-葡萄素
CHEMICAL,Labruscol,Labruscol,Labruscol
CHEMICAL,Piceid,Piceid,云杉苷
CHEMICAL,Viniferins,Viniferins,葡萄素
CHEMICAL,Ampelopsin C,Ampelopsin C,蛇葡萄素C
CHEMICAL,Vitisin A,Vitisin A,葡萄素A
CHEMICAL,Quercetin,Quercetin,槲皮素
CHEMICAL,Quercetagetin,Quercetagetin,槲皮万寿菊素
CHEMICAL,Kaempferol,Kaempferol,山柰酚
CHEMICAL,Myricetin,Myricetin,杨梅素
CHEMICAL,Fisetin,Fisetin,非瑟酮
CHEMICAL,Sciadopitysin,Sciadopitysin,金松双黄酮
CHEMICAL,Syringetin,Syringetin,丁香亭
CHEMICAL,Catechin,Catechin,儿茶素
CHEMICAL,Epicatechin,Epicatechin,表儿茶素
CHEMICAL,Epicatechin 3-gallate,Epicatechin 3-gallate,表儿茶素-3-没食子酸酯
CHEMICAL,Epigallocatechin,Epigallocatechin,表没食子儿茶素
CHEMICAL,Epigallocatechin-3-gallate,Epigallocatechin-3-gallate,表没食子儿茶素-3-没食子酸酯
CHEMICAL,Procyanidin,Procyanidin,原花青素
CHEMICAL,Procyanidin C1,Procyanidin C1,原花青素C1
CHEMICAL,Proanthocyanidins,Proanthocyanidins,原花青素
CHEMICAL,Anthocyanins,Anthocyanins,花青素
CHEMICAL,Anthocyanidins,Anthocyanidins,花青素苷元
CHEMICAL,Cyanidin,Cyanidin,矢车菊色素
CHEMICAL,Delphinidin,Delphinidin,飞燕草色素
CHEMICAL,Petunidin,Petunidin,矮牵牛色素
CHEMICAL,Peonidin,Peonidin,芍药色素
CHEMICAL,Peonidin 3-O-glucoside,Peonidin 3-O-glucoside,芍药色素-3-O-葡萄糖苷
CHEMICAL,Malvidin,Malvidin,锦葵色素
CHEMICAL,Pelargonidin,Pelargonidin,天竺葵色素
CHEMICAL,Tannins,Tannins,单宁
CHEMICAL,Tannic acid,Tannic acid,鞣酸
CHEMICAL,Gallotannin,Gallotannin,没食子单宁
CHEMICAL,Phenolic acids,Phenolic acids,酚酸
CHEMICAL,Hydroxybenzoic acid,Hydroxybenzoic acid,羟基苯甲酸
CHEMICAL,Hydroxycinnamic acid,Hydroxycinnamic acid,羟基肉桂酸
CHEMICAL,Gallic acid,Gallic acid,没食子酸
CHEMICAL,Caffeic acid,Caffeic acid,咖啡酸
CHEMICAL,Coumaric acid,Coumaric acid,香豆酸
CHEMICAL,Ferulic acid,Ferulic acid,阿魏酸
CHEMICAL,Sinapic acid,Sinapic acid,芥子酸
CHEMICAL,Chlorogenic acid,Chlorogenic acid,绿原酸
CHEMICAL,Vanillic acid,Vanillic acid,香草酸
CHEMICAL,Syringic acid,Syringic acid,丁香酸
CHEMICAL,Gentisic acid,Gentisic acid,龙胆酸
CHEMICAL,Ellagic acid,Ellagic acid,鞣花酸
CHEMICAL,Protocatechuic acid,Protocatechuic acid,原儿茶酸
CHEMICAL,Cinnamic acid,Cinnamic acid,肉桂酸
CHEMICAL,Flavonoids,Flavonoids,类黄酮
CHEMICAL,Flavonols,Flavonols,黄酮醇
CHEMICAL,Flavan-3-ols,Flavan-3-ols,黄烷-3-醇
CHEMICAL,Stilbenes,Stilbenes,芪类
CHEMICAL,Polyphenols,Polyphenols,多酚
CHEMICAL,Phytosterols,Phytosterols,植物甾醇
CHEMICAL,Tocopherols,Tocopherols,生育酚
CHEMICAL,Tocotrienols,Tocotrienols,生育三烯酚
CHEMICAL,Ascorbic acid,Ascorbic acid,抗坏血酸
CHEMICAL,Linoleic acid,Linoleic acid,亚油酸
CHEMICAL,Palmitic acid,Palmitic acid,棕榈酸
CHEMICAL,Stearic acid,Stearic acid,硬脂酸
CHEMICAL,Oleic acid,Oleic acid,油酸
CHEMICAL,Hydroxyproline,Hydroxyproline,羟脯氨酸
CHEMICAL,Hyaluronic acid,Hyaluronic acid,透明质酸
CHEMICAL,Procollagen,Procollagen,前胶原蛋白
CHEMICAL,Betulinic acid,Betulinic acid,桦木酸
CHEMICAL,ROS,Reactive oxygen species,活性氧
CHEMICAL,Superoxide anion,Superoxide anion,超氧阴离子
CHEMICAL,Hydroxyl radical,Hydroxyl radical,羟基自由基
CHEMICAL,Singlet oxygen,Singlet oxygen,单线态氧
CHEMICAL,Hydrogen peroxide,Hydrogen peroxide,过氧化氢
CHEMICAL,Nitric oxide,Nitric oxide,一氧化氮
CHEMICAL,Peroxynitrite,Peroxynitrite,过氧亚硝酸盐
CHEMICAL,Malondialdehyde,Malondialdehyde,丙二醛
CHEMICAL,8-OHdG,8-Hydroxydeoxyguanosine,8-羟基脱氧鸟苷
CHEMICAL,Prostaglandins,Prostaglandins,前列腺素
CHEMICAL,Leukotrienes,Leukotrienes,白三烯
CHEMICAL,Histamine,Histamine,组胺
CHEMICAL,Proteases,Proteases,蛋白酶
CHEMICAL,Prostanoids,Prostanoids,前列腺素类
CHEMICAL,Cyclobutane pyrimidine dimers,Cyclobutane pyrimidine dimers,环丁烷嘧啶二聚体
CHEMICAL,5-Fluorouracil,5-Fluorouracil,5-氟尿嘧啶
CHEMICAL,Imatinib,Imatinib,伊马替尼
CHEMICAL,DMBA,7,12-Dimethylbenz[a]anthracene,7,12-二甲基苯并[a]蒽
CHEMICAL,TPA,12-O-Tetradecanoylphorbol-13-acetate,12-O-十四烷酰佛波醇-13-乙酸酯
CHEMICAL,Benzoyl peroxide,Benzoyl peroxide,过氧化苯甲酰
CHEMICAL,Baicalin,Baicalin,黄芩苷
CHEMICAL,Genistein,Genistein,金雀异黄酮
CHEMICAL,Apigenin,Apigenin,芹菜素
CHEMICAL,Curcumin,Curcumin,姜黄素
CHEMICAL,Coenzyme Q10,Coenzyme Q10,辅酶Q10
CHEMICAL,Retinyl palmitate,Retinyl palmitate,视黄醇棕榈酸酯
CHEMICAL,Collagen,Collagen,胶原蛋白
CHEMICAL,Elastin,Elastin,弹性蛋白
CHEMICAL,Fibronectin,Fibronectin,纤连蛋白
CHEMICAL,Proteoglycans,Proteoglycans,蛋白聚糖
CHEMICAL,Melanin,Melanin,黑色素
CHEMICAL,Eotaxin,Eotaxin,嗜酸性粒细胞趋化因子
CHEMICAL,IgE,Immunoglobulin E,免疫球蛋白E
PROTEIN_GENE,BRAF,BRAF,BRAF基因
PROTEIN_GENE,NRAS,NRAS,NRAS基因
PROTEIN_GENE,CDKN2A,CDKN2A,CDKN2A基因
PROTEIN_GENE,NF1,NF1,NF1基因
PROTEIN_GENE,MITF,Microphthalmia-associated transcription factor,小眼畸形相关转录因子
PROTEIN_GENE,RAC1,RAC1,RAC1基因
PROTEIN_GENE,PPP6C,PPP6C,PPP6C基因
PROTEIN_GENE,STK19,STK19,STK19基因
PROTEIN_GENE,PTEN,PTEN,PTEN基因
PROTEIN_GENE,c-Kit,c-Kit,c-Kit蛋白
PROTEIN_GENE,β-Catenin,Beta-catenin,β-连环蛋白
PROTEIN_GENE,TYR,Tyrosinase,酪氨酸酶
PROTEIN_GENE,TYRP1,Tyrosinase-related protein 1,酪氨酸酶相关蛋白1
PROTEIN_GENE,TYRP2,Tyrosinase-related protein 2,酪氨酸酶相关蛋白2
PROTEIN_GENE,DCT,Dopachrome tautomerase,多巴色素异构酶
PROTEIN_GENE,PAH,Phenylalanine hydroxylase,苯丙氨酸羟化酶
PROTEIN_GENE,CREB,cAMP-responsive element-binding protein,cAMP反应元件结合蛋白
PROTEIN_GENE,MAPK,Mitogen-activated protein kinase,丝裂原活化蛋白激酶
PROTEIN_GENE,ERK,Extracellular signal-regulated kinase,细胞外信号调节激酶
PROTEIN_GENE,ERK1,Extracellular signal-regulated kinase 1,细胞外信号调节激酶1
PROTEIN_GENE,ERK2,Extracellular signal-regulated kinase 2,细胞外信号调节激酶2
