category,term,normalized_name,synonyms
CHEMICAL,Resveratrol,Resveratrol,白藜芦醇
CHEMICAL,Resveratrate,Resveratrate,白藜芦醇衍生物
CHEMICAL,trans-Resveratrol,trans-Resveratrol,反式白藜芦醇
CHEMICAL,cis-Resveratrol,cis-Resveratrol,顺式白藜芦醇
CHEMICAL,Catechins,Catechins,儿茶素
CHEMICAL,Anthocyanidins,Anthocyanidins,花青素苷元
CHEMICAL,Isorhamnetin,Isorhamnetin,异鼠李素
CHEMICAL,Polyphenols,Polyphenols,多酚
CHEMICAL,Phytochemicals,Phytochemicals,植物化学物
CHEMICAL,Phytoalexins,Phytoalexins,植物抗毒素
CHEMICAL,Melanin,Melanin,黑色素
CHEMICAL,Eumelanin,Eumelanin,真黑色素
CHEMICAL,Chromophores,Chromophores,生色团
CHEMICAL,Hemoglobin,Hemoglobin,血红蛋白
CHEMICAL,Reactive oxygen species,Reactive oxygen species,活性氧
CHEMICAL,Singlet oxygen,Singlet oxygen,单线态氧
CHEMICAL,Superoxide anion,Superoxide anion,超氧阴离子
CHEMICAL,Hydroxyl radical,Hydroxyl radical,羟基自由基
CHEMICAL,Hydrogen peroxide,Hydrogen peroxide,过氧化氢
CHEMICAL,Nitric oxide,Nitric oxide,一氧化氮
CHEMICAL,Peroxynitrite,Peroxynitrite,过氧亚硝酸盐
CHEMICAL,Malondialdehyde,Malondialdehyde,丙二醛
CHEMICAL,2'-Deoxyribonic acid,2'-Deoxyribonic acid,2'-脱氧核糖酸
CHEMICAL,3-Hydroxyphenylacetic acid,3-Hydroxyphenylacetic acid,3-羟基苯乙酸
CHEMICAL,scyllo-Inositol,scyllo-Inositol,肌醇
CHEMICAL,Cyclobutene pyrimidine dimers,Cyclobutene pyrimidine dimers,环丁烯嘧啶二聚体
CHEMICAL,6-4PP,6-4 Pyrimidine-pyrimidone photoproducts,6-4嘧啶-嘧啶酮光产物
CHEMICAL,Thymine dimers,Thymine dimers,胸腺嘧啶二聚体
CHEMICAL,7,8-Dihydro-8-oxoguanine,7,8-Dihydro-8-oxoguanine,7,8-二氢-8-氧代鸟嘌呤
CHEMICAL,DOL,Dihydro-8-oxoguanine lesions,二氢-8-氧代鸟嘌呤损伤
CHEMICAL,Cytochrome c,Cytochrome c,细胞色素c
CHEMICAL,Prostaglandins,Prostaglandins,前列腺素
CHEMICAL,Histamine,Histamine,组胺
CHEMICAL,ADPR,Adenosine diphosphate ribose,二磷酸腺苷核糖
CHEMICAL,Eotaxin,Eotaxin,嗜酸性粒细胞趋化因子
CHEMICAL,IgE,Immunoglobulin E,免疫球蛋白E
CHEMICAL,DMSO,Dimethyl sulfoxide,二甲亚砜
CHEMICAL,Collagen,Collagen,胶原蛋白
CHEMICAL,Elastin,Elastin,弹性蛋白
CHEMICAL,Carotenoids,Carotenoids,类胡萝卜素
CHEMICAL,Vitamin D,Vitamin D,维生素D
PROTEIN_GENE,p53,p53,肿瘤蛋白p53
PROTEIN_GENE,p21,p21/WAF1/CIP1,细胞周期蛋白依赖性激酶抑制剂1
PROTEIN_GENE,BCL2,B-cell lymphoma 2,B细胞淋巴瘤2
PROTEIN_GENE,Bcl-2,B-cell lymphoma 2,B细胞淋巴瘤2
PROTEIN_GENE,Bax,Bcl-2-associated X protein,Bcl-2相关X蛋白
