category,term,normalized_name,synonyms
CHEMICAL,Resveratrol,Resveratrol,白藜芦醇
CHEMICAL,Polyphenols,Polyphenols,多酚
CHEMICAL,Phytoalexin,Phytoalexin,植物抗毒素
CHEMICAL,Antioxidants,Antioxidants,抗氧化剂
CHEMICAL,Free radicals,Free radicals,自由基
CHEMICAL,Oxidized cholesterol,Oxidized cholesterol,氧化型胆固醇
CHEMICAL,LDL,Low-density lipoprotein,低密度脂蛋白
CHEMICAL,HDL,High-density lipoprotein,高密度脂蛋白
CHEMICAL,VLDL,Very low-density lipoprotein,极低密度脂蛋白
CHEMICAL,Triglycerides,Triglycerides,甘油三酯
CHEMICAL,Total cholesterol,Total cholesterol,总胆固醇
CHEMICAL,Bile acids,Bile acids,胆汁酸
CHEMICAL,Deoxycholic acid,Deoxycholic acid,脱氧胆酸
CHEMICAL,Lipofuscin,Lipofuscin,脂褐素
CHEMICAL,4-Hydroxynonenal,4-Hydroxynonenal,4-羟基壬烯醛
CHEMICAL,Advanced glycation end products,Advanced glycation end products,晚期糖基化终末产物
CHEMICAL,Glutathione,Glutathione,谷胱甘肽
CHEMICAL,F2-isoprostane,F2-isoprostane,F2-异前列腺素
CHEMICAL,Cytokines,Cytokines,细胞因子
CHEMICAL,Pro-inflammatory cytokines,Pro-inflammatory cytokines,促炎细胞因子
CHEMICAL,Anti-inflammatory cytokines,Anti-inflammatory cytokines,抗炎细胞因子
CHEMICAL,IL-1β,Interleukin-1 beta,白细胞介素-1β
CHEMICAL,IL-6,Interleukin-6,白细胞介素-6
CHEMICAL,IL-10,Interleukin-10,白细胞介素-10
CHEMICAL,TNF-α,Tumor necrosis factor-alpha,肿瘤坏死因子α
CHEMICAL,MCP-1,Monocyte chemoattractant protein 1,单核细胞趋化蛋白1
CHEMICAL,ET-1,Endothelin-1,内皮素-1
CHEMICAL,sVCAM-1,Soluble vascular cell adhesion molecule-1,可溶性血管细胞黏附分子1
CHEMICAL,sICAM-1,Soluble intercellular adhesion molecule-1,可溶性细胞间黏附分子1
CHEMICAL,sE-selectin,Soluble E-selectin,可溶性E-选择素
CHEMICAL,CRP,C-reactive protein,C反应蛋白
CHEMICAL,hs-CRP,High-sensitivity C-reactive protein,高敏C反应蛋白
CHEMICAL,PAI-1,Plasminogen activator inhibitor type 1,纤溶酶原激活物抑制剂1型
CHEMICAL,Nitric oxide,Nitric oxide,一氧化氮
CHEMICAL,NADH,NADH,NADH
CHEMICAL,NADPH,NADPH,NADPH
CHEMICAL,Reactive oxygen species,Reactive oxygen species,活性氧
CHEMICAL,Mitochondrial DNA,Mitochondrial DNA,线粒体DNA
CHEMICAL,DNA damage,DNA damage,DNA损伤
CHEMICAL,8-OHdG,8-Hydroxy-2-deoxyguanosine,8-羟基-2-脱氧鸟苷
CHEMICAL,Malondialdehyde,Malondialdehyde,丙二醛
CHEMICAL,Lipid peroxidation,Lipid peroxidation,脂质过氧化
CHEMICAL,Oxidative stress markers,Oxidative stress markers,氧化应激标志物
CHEMICAL,Inflammatory markers,Inflammatory markers,炎症标志物
CHEMICAL,Arginine,Arginine,精氨酸
CHEMICAL,Calcium,Calcium,钙
CHEMICAL,Ascorbic acid,Ascorbic acid,抗坏血酸
CHEMICAL,5-Oxoproline,5-Oxoproline,5-氧代脯氨酸
CHEMICAL,Butyrate,Butyrate,丁酸
CHEMICAL,Short-chain fatty acids,Short-chain fatty acids,短链脂肪酸
CHEMICAL,Exendin-3,Exendin-3,Exendin-3
CHEMICAL,GLP-1,Glucagon-like peptide-1,胰高血糖素样肽-1
CHEMICAL,Hydrazine,Hydrazine,肼
CHEMICAL,Nitrate,Nitrate,硝酸盐
CHEMICAL,4-Hydroxyphenylacetic acid,4-Hydroxyphenylacetic acid,4-羟基苯乙酸
CHEMICAL,3-Hydroxyphenylacetic acid,3-Hydroxyphenylacetic acid,3-羟基苯乙酸
CHEMICAL,2'-Deoxyribonic acid,2'-Deoxyribonic acid,2'-脱氧核糖酸
CHEMICAL,Tartaric acid,Tartaric acid,酒石酸
CHEMICAL,Glutaconic acid,Glutaconic acid,戊烯二酸
PROTEIN_GENE,p53,p53,肿瘤蛋白p53
PROTEIN_GENE,PTEN,Phosphatase and tensin homolog,磷酸酶与张力蛋白同源物
PROTEIN_GENE,NF-κB,Nuclear factor-kappa B,核因子κB
PROTEIN_GENE,Nrf2,Nuclear factor erythroid 2-related factor 2,核因子E2相关因子2
PROTEIN_GENE,XIAP,X-linked inhibitor of apoptosis protein,X连锁凋亡抑制蛋白
PROTEIN_GENE,Wnt,Wnt signaling protein,Wnt信号蛋白
PROTEIN_GENE,Notch,Notch signaling protein,Notch信号蛋白
PROTEIN_GENE,tNOX,tNOX,tNOX
PROTEIN_GENE,ApoE,Apolipoprotein E,载脂蛋白E
PROTEIN_GENE,COX-2,Cyclooxygenase-2,环氧合酶-2
PROTEIN_GENE,iNOS,Inducible nitric oxide synthase,诱导型一氧化氮合酶
PROTEIN_GENE,eNOS,Endothelial nitric oxide synthase,内皮型一氧化氮合酶
PROTEIN_GENE,SOD,Superoxide dismutase,超氧化物歧化酶
PROTEIN_GENE,CAT,Catalase,过氧化氢酶
PROTEIN_GENE,GPx,Glutathione peroxidase,谷胱甘肽过氧化物酶
PROTEIN_GENE,AMPK,AMP-activated protein kinase,AMP活化蛋白激酶
PROTEIN_GENE,PPAR,Peroxisome proliferator-activated receptor,过氧化物酶体增殖物激活受体
PROTEIN_GENE,PPARγ,Peroxisome proliferator-activated receptor gamma,过氧化物酶体增殖物激活受体γ
PROTEIN_GENE,LXR-α,Liver X receptor-alpha,肝X受体α
PROTEIN_GENE,ABCA1,ATP-binding cassette transporter A1,ATP结合盒转运蛋白A1
PROTEIN_GENE,CD14,Cluster of differentiation 14,分化簇14
PROTEIN_GENE,CD16,Cluster of differentiation 16,分化簇16
PROTEIN_GENE,MC1R,Melanocortin-1 receptor,黑皮质素-1受体
PROTEIN_GENE,MITF,Microphthalmia-associated transcription factor,小眼畸形相关转录因子
PROTEIN_GENE,CREB,cAMP response element-binding protein,cAMP反应元件结合蛋白
PROTEIN_GENE,AP-1,Activator protein 1,激活蛋白1
PROTEIN_GENE,MAPK,Mitogen-activated protein kinase,丝裂原活化蛋白激酶
PROTEIN_GENE,ERK,Extracellular signal-regulated kinase,细胞外信号调节激酶
PROTEIN_GENE,JNK,c-Jun N-terminal kinase,c-Jun N-末端激酶
PROTEIN_GENE,PI3K,Phosphoinositide 3-kinase,磷脂酰肌醇3-激酶
PROTEIN_GENE,AKT,Protein kinase B,蛋白激酶B
PROTEIN_GENE,mTOR,Mammalian target of rapamycin,雷帕霉素靶蛋白
PROTEIN_GENE,SIRT1,Sirtuin 1,沉默信息调节因子1
PROTEIN_GENE,NADPH oxidase,NADPH oxidase,NADPH氧化酶
PROTEIN_GENE,Glutathione peroxidase,Glutathione peroxidase,谷胱甘肽过氧化物酶
PROTEIN_GENE,Superoxide dismutase,Superoxide dismutase,超氧化物歧化酶
PROTEIN_GENE,Catalase,Catalase,过氧化氢酶
PROTEIN_GENE,HMGA1,High-mobility group A1,高迁移率族蛋白A1
PROTEIN_GENE,MMP-2,Matrix metalloproteinase 2,基质金属蛋白酶2
PROTEIN_GENE,MMP-9,Matrix metalloproteinase 9,基质金属蛋白酶9
PROTEIN_GENE,TLR2,Toll-like receptor 2,Toll样受体2
PROTEIN_GENE,TLR4,Toll-like receptor 4,Toll样受体4
DISEASE,Cardiovascular disease,Cardiovascular disease,心血管疾病
DISEASE,Coronary heart disease,Coronary heart disease,冠心病
DISEASE,Atherosclerosis,Atherosclerosis,动脉粥样硬化
DISEASE,Metabolic syndrome,Metabolic syndrome,代谢综合征
DISEASE,Type 2 diabetes,Type 2 diabetes,2型糖尿病
DISEASE,Type 1 diabetes,Type 1 diabetes,1型糖尿病
DISEASE,Obesity,Obesity,肥胖
DISEASE,Non-alcoholic fatty liver disease,Non-alcoholic fatty liver disease,非酒精性脂肪性肝病
DISEASE,Hepatic steatosis,Hepatic steatosis,肝脂肪变性
DISEASE,Kidney disease,Chronic kidney disease,慢性肾脏病
DISEASE,Prostate cancer,Prostate cancer,前列腺癌
DISEASE,Ovarian cancer,Ovarian cancer,卵巢癌
DISEASE,Colon cancer,Colorectal cancer,结直肠癌
DISEASE,Breast cancer,Breast cancer,乳腺癌
DISEASE,Skin cancer,Skin cancer,皮肤癌
DISEASE,Melanoma,Melanoma,黑色素瘤
DISEASE,Non-melanoma skin cancer,Non-melanoma skin cancer,非黑色素瘤皮肤癌
DISEASE,Age-related macular degeneration,Age-related macular degeneration,年龄相关性黄斑变性
DISEASE,Choroidal neovascularization,Choroidal neovascularization,脉络膜新生血管
DISEASE,Cataract,Cataract,白内障
DISEASE,Retinal degeneration,Retinal degeneration,视网膜变性
DISEASE,Bladder dysfunction,Bladder dysfunction,膀胱功能障碍
DISEASE,Osteoarthritis,Knee osteoarthritis,膝骨关节炎
DISEASE,Osteoporosis,Osteoporosis,骨质疏松
DISEASE,Menopause,Menopause,绝经
DISEASE,Post-traumatic stress disorder,Post-traumatic stress disorder,创伤后应激障碍
DISEASE,Cerebral ischemia,Cerebral ischemia,脑缺血
DISEASE,Hypertension,Hypertension,高血压
DISEASE,Inflammation,Inflammation,炎症
DISEASE,Chronic inflammation,Chronic inflammation,慢性炎症
DISEASE,Oxidative stress,Oxidative stress,氧化应激
DISEASE,Insulin resistance,Insulin resistance,胰岛素抵抗
DISEASE,Cognitive decline,Cognitive decline,认知下降
DISEASE,Alzheimer's disease,Alzheimer's disease,阿尔茨海默病
DISEASE,Anxiety,Anxiety,焦虑
DISEASE,Leaky gut,Leaky gut,肠漏
DISEASE,Dysbiosis,Dysbiosis,菌群失调
DISEASE,Osteoarthritis,Osteoarthritis,骨关节炎
PATHWAY,Wnt signaling pathway,Wnt signaling pathway,Wnt信号通路
PATHWAY,Notch signaling pathway,Notch signaling pathway,Notch信号通路
PATHWAY,NF-κB signaling pathway,NF-κB signaling pathway,核因子κB信号通路
